Designator,Mid X,Mid Y,Rotation,Layer
D1,27.94,-33.0,270.0,bottom
D10,82.0,-50.0,270.0,bottom
D11,100.0,-50.0,270.0,bottom
D12,118.0,-50.0,270.0,bottom
D13,28.0,-67.0,270.0,bottom
D14,46.0,-67.0,270.0,bottom
D15,64.0,-67.0,270.0,bottom
D16,82.0,-67.0,270.0,bottom
D17,100.0,-67.0,270.0,bottom
D18,118.0,-67.056,270.0,bottom
D19,28.0,-84.0,270.0,bottom
D2,46.0,-33.02,270.0,bottom
D20,46.0,-84.0,270.0,bottom
D21,64.0,-84.0,270.0,bottom
D22,82.0,-84.0,270.0,bottom
D23,100.0,-84.0,270.0,bottom
D24,118.0,-84.0,270.0,bottom
D25,28.0,-101.0,270.0,bottom
D26,46.0,-101.0,270.0,bottom
D27,64.0,-101.0,270.0,bottom
D28,82.0,-101.0,270.0,bottom
D29,100.0,-101.0,270.0,bottom
D3,64.0,-33.02,270.0,bottom
D30,118.0,-101.0,270.0,bottom
D4,82.0,-33.0,270.0,bottom
D5,100.0,-33.0,270.0,bottom
D6,118.0,-33.0,270.0,bottom
D7,28.0,-50.0,270.0,bottom
D8,46.0,-50.0,270.0,bottom
D9,64.0,-50.0,270.0,bottom
U2,142.459,-34.163,270.0,bottom
